	id	sentence	sentiment
0	1	UK is also extending to Hong Kong the arms embargo that is in force on mainland China since 1989.	0
1	1	Shadow foreign secretary Lisa Nandy said the measures should lead to a “new era” in the two countries’ relationship.She said: “This must mark the start of a more strategic approach to China based on an ethical approach to foreign policy and an end to the naivety of the ‘golden-era years’.”“Like him, our quarrel is not with the people of China, but the erosion of freedoms in Hong Kong, the actions of the Chinese government in the South China Sea and the appalling treatment of the Uighur people is reason now to act.	0
2	1	The Boris Johnson government on Monday escalated its ennui with China following Beijing’s recent enactment of a security law for Hong Kong by suspending the extradition treaty with it “immediately and indefinitely” and banned the export of items related to suppressing riots.London’s latest action follows last week’s ban on Chinese company Huawei, high-profile expression of concern over the reportedly repressive treatment of Uighur Muslims in the Xinjiang province of China, and previous offer of a path to UK citizenship to Hong Kong citizens holding the British National (Overseas) passports.Foreign secretary Dominic Raab announced the suspension in the House of Commons: “I have consulted with the Home Secretary, the Justice Secretary and the Attorney General, and the government has decided to suspend the extradition treaty immediately and indefinitely”.“And I should also tell the House that we would not consider re-activating those arrangements, unless, and until clear and robust safeguards which are able to prevent extradition from the UK being misused under the national security legislation”, he added.	0
3	2	MOSCOW (REUTERS) - Russia has revised steeply higher, to nearly 500, the number of medical workers who have died after contracting Covid-19, illustrating the severe toll the pandemic has taken on its frontline doctors and nurses.	1
4	2	Russia, which has a population of 145 million, has reported more than half a million coronavirus infections, the world's third largest caseload after the United States and Brazil, though its confirmed death toll of 7,660 is much lower than that of many other countries.	1
5	2	The Health Ministry had reported on May 26 that 101 medics had died from the coronavirus, a figure that was much lower than an unofficial tally of 444 deceased medical workers compiled online by Russian doctors.	1
6	4	The masks were to be sold to construction workers for a large profit, according to police.	0
7	4	In March, 32 500 masks from China were seized from a warehouse near Paris and 28 800 masks were discovered in a shop in a district of Chinese wholesalers, also in the Paris region.	0
8	4	Bobigny – French police have seized 140 000 face masks intended for the black market in a record haul since the start of the coronavirus pandemic.	0
9	6	UNITED STATES Trump touts talk with Xi  President Donald Trump touted a “very good talk” on Friday with Chinese President Xi Jinping (習近平) on a deal to resolve their trade dispute, while Chinese media said Xi had complained about US interference in Hong Kong and elsewhere.	1
10	6	“Formal signing being arranged,” he said.	1
11	6	The head of the Industry and Commerce Department — which regulates the market — said that the company must cease operations immediately, citing “unfair competition” and a “significant advantage” over older and more traditional taxi services.	1
12	7	Mr. Trudeau’s reason for not attending?	0
13	7	Mr. Trudeau has been at the receiving end of Mr. Trump’s quick-twitch anger before.	0
14	7	Mr. Trudeau did promise Mr. Obrador a visit “as soon as possible” over the phone.	0
15	9	Mr. Trump did not ask Mr. Erdogan for anything in exchange.	0
16	9	By pulling troops out unilaterally they argue Mr. Trump has emboldened America’s enemies and distressed its allies.	0
17	9	“We’re going to bring our soldiers back home” Mr. Trump said on Monday.	0
18	10	Von der Leyen’s support for NATO and a Europe committed to more burden-sharing will serve her well in Washington.	1
19	10	In her nearly six years as Germany’s defense minister von der Leyen cultivated many friends in Washington and throughout the NATO capitals.	1
20	10	He continues to criticize NATO’s European allies — particularly Germany — for skimping on defense.	1
21	13	They want to make a deal,” Trump said.	0
22	13	Trump’s handling of the virus has come under scrutiny.	0
23	13	"“We’re looking for what happened.” ""China will do anything they can to have me lose this race,” added Trump."	0
27	15	Trump tweeted.	1
28	15	I know President Xi of China very well.	1
29	15	"Trump also praised Chinese President Xi Jinping, calling him a ""great leader"" and saying he could quickly resolve the unrest in Hong Kong if he wanted to."	1
30	16	President Donald Trump will welcome his first foreign visitor in months next week when Poland's leader comes to the White House for talks.	1
31	16	Some Polish officials have suggested Trump should move troops currently stationed in Germany to Poland.	1
32	16	"The White House said in announcing the visit that it ""comes at a critical time for both the United States and Poland, as we reopen our countries after months of battling the coronavirus pandemic."""	1
33	17	The future of Taiwan’s democracy is on the line as the self-ruled island’s 19 million voters decide on whether to give independence-leaning President Tsai Ing-wen a second term.Voting began at 8 a.m. Saturday and wraps up at 4 p.m. “You should exercise your rights to make democracy stronger in Taiwan.”For many in Taiwan, months of protests in Hong Kong have cast in stark relief the contrast between their democratically governed island and authoritarian, communist-ruled mainland China.Tsai said at a final campaign rally Friday night that the election was a chance to protect Taiwan’s democracy.“Let us tell the world with our own votes that Taiwanese are determined to defend sovereignty, determined to guard democracy and determined to persist in reforms,” she said.The Nationalist Party’s Han has said Taiwan should be more open to negotiations with China, in contrast to Tsai, who has dismissed Beijing’s overtures.	1
34	17	He also met with leading officials for relations with Taiwan, including the head of the Cabinet’s Taiwan Affairs Office, Liu Jieyi, and ranking Communist Party officials in Hong Kong.That reinforced his image as a candidate backed by and friendly to Beijing.	1
35	18	The French government cries foul after Paris-based pharmaceutical giant Sanofi says it would reserve first shipments of any vaccine for the US.	1
36	18	"""This virus may become just another endemic virus in our communities and this virus may never go away,"" says Michael Ryan, the emergencies director of the World Health Organization, drawing on the example of HIV."	1
37	18	People will be allowed to depart for summer holidays, but only in France and its overseas departments.	1
38	19	CLICK HERE FOR MORE CORONAVIRUS COVERAGE Badiucao said that “A New Tank” is a protest against the Chinese government, which he believes is using the diversion of the global pandemic to crack down on Hong Kong's pro-democracy movement, Reuters reported Friday.	0
39	20	We are starting this on Monday,” Soylu said in a speech in Ankara, referring to members of the Islamic State group (IS).	1
40	20	Earlier this week, Soylu said Turkey had nearly 1,200 foreign members of IS in custody, and had captured 287 during its recent operation in northern Syria.	1
41	20	High-profile cases such as teenage IS recruit Shamima Begum, and another alleged recruit Jack Letts, have sparked court proceedings and fierce political debate in Britain.	1
42	21	"""In his op-ed Webster pushed back against Trump's criticism of Wray and the FBI saying he has ""complete confidence"" in Wray and the FBI is ""not a broken institution."	0
43	21	"""Trump who has long criticized FBI leadership last week lashed out at Director Christopher Wray after Wray backed the findings of an inspector general report that found the FBI's investigation into Russian election interference was properly launched.Read More""I don't know what report current Director of the FBI Christopher Wray was reading but it sure wasn't the one given to me."	0
44	21	McCabe who is a CNN contributor has said he never intentionally misled anyone.Last week CNN reported that some federal law enforcement officials are warning of a chilling effect inside the FBI amid the attacks by Trump and Barr over the bureau's handling of the Russia investigation.	0
